City	Month	Year	CO	O3	Temperature
Casablanca	1	2005	11.371	281.391	14
Casablanca	1	2005	4.267	284.555	26
Rabat	1	2005	4.349	211.829	21
Rabat	1	2005	12.665	244.458	24
Rabat	1	2005	11.113	287.933	22
Rabat	1	2005	10.2	258.043	26
Meknes	1	2005	6.58	244.499	20
Meknes	1	2005	4.106	247.42	20
Meknes	1	2005	10.273	232.936	28
Meknes	1	2005	12.387	293.378	15
Fez	1	2005	5.93	247.987	25
Fez	1	2005	5.82	214.618	29
Fez	1	2005	12.963	292.172	19
Fez	1	2005	8.908	274.89	12
Fez	1	2005	4.639	291.735	26
Casablanca	1	2005	12.807	260.647	10
Casablanca	1	2005	6.807	250.057	28
Casablanca	1	2005	7.968	237.266	17
Casablanca	1	2005	11.296	215.581	28
Casablanca	1	2005	12.061	259.797	21
Casablanca	1	2005	12.161	238.432	13
Casablanca	1	2005	12.661	247.042	17
Rabat	1	2005	5.105	217.725	17
Rabat	1	2005	9.417	252.266	28
Rabat	1	2005	11.006	271.095	21
Rabat	1	2005	5.937	232.853	24
Meknes	1	2005	8.906	216.652	11
Meknes	1	2005	4.47	202.013	16
Meknes	1	2005	5.538	298.748	22
Meknes	1	2005	11.622	233.58	21
Fez	1	2005	13.993	258.656	20
Fez	1	2005	9.568	263.218	16
Fez	1	2005	11.107	252.7	29
Fez	1	2005	13.131	282.215	15
Fez	1	2005	11.167	273.917	10
Casablanca	1	2005	4.106	265.82	19
Casablanca	1	2005	5.617	212.215	10
Casablanca	1	2005	13.121	204.508	17
Casablanca	1	2005	9.676	267.982	19
Casablanca	1	2005	6.966	214.223	17
Casablanca	1	2005	7.058	271.529	20
Casablanca	1	2005	5.767	268.755	26
Rabat	1	2005	9.613	220.735	21
Rabat	1	2005	8.846	281.748	14
Rabat	1	2005	8.691	286.936	28
Rabat	1	2005	13.189	231.414	24
Meknes	1	2005	13.338	200.046	28
Meknes	1	2005	12.182	295.011	25
Meknes	1	2005	9.092	217.89	16
Meknes	1	2005	13.41	232.781	14
Fez	1	2005	8.708	239.462	10
Fez	1	2005	12.351	227.549	16
Fez	1	2005	10.777	218.824	12
Fez	1	2005	13.602	251.522	12
Fez	1	2005	10.085	259	19
Casablanca	1	2005	5.767	287.29	29
Casablanca	1	2005	11.35	272.804	26
Casablanca	1	2005	10.132	275.987	18
Casablanca	1	2005	8.694	235.858	26
Casablanca	1	2005	4.572	263.942	23
Casablanca	1	2005	10.761	259.646	15
Casablanca	1	2005	12.358	200.88	23
Rabat	1	2005	11.35	223.146	14
Rabat	1	2005	10.905	220.499	22
Rabat	1	2005	8.626	281.29	14
Rabat	1	2005	9.653	225.96	17
Meknes	1	2005	4.407	221.069	24
Meknes	1	2005	9.455	274.282	29
Meknes	1	2005	9.343	295.603	23
Meknes	1	2005	7.216	299.832	19
Fez	1	2005	12.916	201.014	19
Fez	1	2005	6.434	264.25	19
Fez	1	2005	12.883	244.206	29
Fez	1	2005	6.538	290.205	29
Fez	1	2005	5.965	299.228	17
Casablanca	1	2005	11.306	214.225	28
Casablanca	1	2005	8.702	249.527	13
Casablanca	1	2005	12.939	290.722	17
Casablanca	1	2005	8.492	240.623	19
Casablanca	1	2005	13.771	277.084	14
Casablanca	1	2005	5.447	217.28	28
Casablanca	1	2005	13.161	281.114	16
Rabat	1	2005	12.839	267.55	24
Rabat	1	2005	7.189	202.302	14
Rabat	1	2005	7.261	277.949	19
Rabat	1	2005	8.044	284.784	23
Meknes	1	2005	13.559	253.251	18
Meknes	1	2005	11.77	253.45	24
Meknes	1	2005	4.461	212.844	18
Meknes	1	2005	13.135	270.262	19
Fez	1	2005	4.54	202.719	18
Fez	1	2005	11.736	229.803	24
Fez	1	2005	13.912	242.745	14
Fez	1	2005	8.432	256.416	21
Fez	1	2005	5.846	207.262	18
Casablanca	1	2005	13.792	216.758	17
Casablanca	1	2005	8.02	207.428	28
Casablanca	1	2005	9.831	210.309	26
Casablanca	1	2005	11.88	263.827	27
Casablanca	1	2005	7.589	206.597	17
Casablanca	1	2005	8.082	274.679	16
Casablanca	1	2005	4.391	241.439	26
Rabat	1	2005	13.215	227.99	11
Rabat	1	2005	6.962	254.153	11
Rabat	1	2005	13.763	231.416	20
Rabat	1	2005	6.724	262.528	22
Meknes	1	2005	8.835	257.211	21
Meknes	1	2005	4.926	256.102	21
Meknes	1	2005	13.937	255.152	19
Meknes	1	2005	8.011	272.456	26
Fez	1	2005	9.124	236.038	21
Fez	1	2005	12.459	283.025	13
Fez	1	2005	4.264	215.451	26
Fez	1	2005	10.628	271.696	21
Fez	1	2005	7.933	233.468	28
Casablanca	1	2005	6.406	205.822	25
Casablanca	1	2005	8.028	282.393	24
Casablanca	1	2005	5.769	204.637	25
Casablanca	1	2005	4.736	243.157	23
Casablanca	1	2005	5.647	278.761	23
Casablanca	1	2005	11.209	238.676	16
Casablanca	1	2005	4.842	246.664	16
Rabat	1	2005	7.513	269.231	19
Rabat	1	2005	13.64	285.935	15
Rabat	1	2005	5.279	282.186	20
Rabat	1	2005	9.99	287.099	24
Meknes	1	2005	8.653	239.424	24
Meknes	1	2005	5.673	208.3	10
Meknes	1	2005	8.587	253.549	10
Meknes	1	2005	11.882	201.094	15
Fez	1	2005	4.75	289.559	15
Fez	1	2005	7.63	286.786	27
Fez	1	2005	7.281	236.418	21
Fez	1	2005	4.724	260.031	16
Fez	1	2005	8.913	270.661	13
Casablanca	1	2005	11.658	228.825	12
Casablanca	1	2005	4.859	227.345	17
Casablanca	1	2005	10.427	243.405	28
Casablanca	1	2005	5.592	215.25	19
Casablanca	1	2005	6.249	267.835	17
Casablanca	1	2005	8.249	213.096	14
Casablanca	1	2005	10.949	289.55	29
Rabat	1	2005	4.832	298.35	24
Rabat	1	2005	13.327	272.266	14
Rabat	1	2005	9.554	202.128	28
Rabat	1	2005	13.554	259.805	22
Meknes	1	2005	13.211	219.247	23
Meknes	1	2005	11.962	268.002	17
Meknes	1	2005	4.294	236.412	28
Meknes	1	2005	6.465	295.195	27
Fez	1	2005	5.8	270.774	25
Fez	1	2005	6.163	252.659	13
Fez	1	2005	5.08	250.326	27
Fez	1	2005	7.174	221.728	13
Fez	1	2005	12.133	221.142	13
Casablanca	1	2005	7.636	215.86	13
Casablanca	1	2005	7.521	268.842	24
Casablanca	1	2005	7.602	297.059	28
Casablanca	1	2005	10.347	207.132	22
Casablanca	1	2005	7.505	220.938	25
Casablanca	1	2005	5.896	237.805	12
Casablanca	1	2005	13.087	298.317	14
Rabat	1	2005	5.793	228.795	18
Rabat	1	2005	5.38	235.798	13
Rabat	1	2005	4.574	212.775	12
Rabat	1	2005	10.43	267.454	19
Meknes	1	2005	8.517	260.961	20
Meknes	1	2005	8.764	201.101	24
Meknes	1	2005	9.174	251.597	29
Meknes	1	2005	5.5	269.304	11
Fez	1	2005	9.846	212.457	11
Fez	1	2005	4.725	245.978	16
Fez	1	2005	5.629	221.539	16
Fez	1	2005	6.524	255.081	16
Fez	1	2005	12.051	267.234	19
Casablanca	1	2005	12.947	224.79	27
Casablanca	1	2005	5.345	227.451	27
Casablanca	1	2005	11.941	207.783	18
Casablanca	1	2005	10.411	285.614	13
Casablanca	1	2005	13.224	203.225	18
Casablanca	1	2005	6.186	201.414	21
Casablanca	1	2005	12.245	240.448	23
Rabat	1	2005	11.584	244.338	28
Rabat	1	2005	5.475	241.286	23
Rabat	1	2005	8.034	245.448	16
Rabat	1	2005	13.114	284.845	28
Meknes	1	2005	6.441	283.251	11
Meknes	1	2005	9.696	292.225	22
Meknes	1	2005	7.321	203.252	11
Meknes	1	2005	13.422	277.122	22
Fez	1	2005	12.468	257.371	23
Fez	1	2005	13.114	227.433	11
Fez	1	2005	12.691	281.271	10
Fez	1	2005	10.155	263.201	12
Fez	1	2005	12.878	274.686	10
Casablanca	1	2005	9.61	238.679	11
Casablanca	1	2005	7.178	219.319	15
Casablanca	1	2005	12.636	245.197	12
Casablanca	1	2005	4.83	296.222	15
Casablanca	1	2005	12.23	220.738	14
Casablanca	1	2005	12.817	260.611	19
Casablanca	1	2005	8.691	291.935	14
Rabat	1	2005	4.632	256.204	18
Rabat	1	2005	10.39	239.669	22
Rabat	1	2005	10.066	253.048	25
Rabat	1	2005	13.471	266.649	21
Meknes	1	2005	8.175	282.233	13
Meknes	1	2005	10.271	202.05	28
Meknes	1	2005	9.273	242.483	25
Meknes	1	2005	9.891	264.64	15
Fez	1	2005	5.513	207.991	16
Fez	1	2005	9.672	237.05	28
Fez	1	2005	5.301	249.182	14
Fez	1	2005	9.059	228.552	14
Fez	1	2005	5.966	245.944	22
Casablanca	1	2005	10.24	255.534	10
Casablanca	1	2005	4.559	231.302	11
Casablanca	1	2005	7.001	205.135	24
Casablanca	1	2005	12.065	218.222	18
Casablanca	1	2005	6.412	205.32	12
Casablanca	1	2005	12.508	200.385	28
Casablanca	1	2005	9.597	250.363	29
Rabat	1	2005	9.642	242.074	29
Rabat	1	2005	4.481	264.956	17
Rabat	1	2005	9.675	250.898	29
Rabat	1	2005	13.401	227.109	27
Meknes	1	2005	8.437	225.439	25
Meknes	1	2005	10.889	261.854	26
Meknes	1	2005	5.256	226.868	19
Meknes	1	2005	12.036	252.728	10
Fez	1	2005	10.751	266.16	23
Fez	1	2005	11.353	221.168	16
Fez	1	2005	11.146	279.525	26
Fez	1	2005	5.793	289.713	12
Fez	1	2005	12.984	249.506	28
Casablanca	1	2005	9.805	254.224	22
Casablanca	1	2005	9.177	267.556	13
Casablanca	1	2005	7.56	299.499	26
Casablanca	1	2005	10.153	267.09	19
Casablanca	1	2005	13.47	217.94	24
Casablanca	1	2005	11.736	287.888	29
Casablanca	1	2005	6.95	223.403	13
Rabat	1	2005	4.677	232.091	20
Rabat	1	2005	12.368	225.549	21
Rabat	1	2005	6.56	247.495	27
Rabat	1	2005	5.516	219.038	16
Meknes	1	2005	13.708	256.753	11
Meknes	1	2005	4.559	205.057	11
Meknes	1	2005	10.932	254.152	20
Meknes	1	2005	10.074	287.718	19
Fez	1	2005	6.667	271.398	24
Fez	1	2005	12.574	215.319	26
Fez	1	2005	8.647	222.517	21
Fez	1	2005	12.571	210.373	27
Fez	1	2005	7.797	218.177	11
Casablanca	1	2005	6.147	296.372	16
Casablanca	1	2005	8.649	239.595	23
Casablanca	1	2005	12.864	264.768	20
Casablanca	1	2005	8	206.944	27
Casablanca	1	2005	4.118	215.312	25
Casablanca	1	2005	10.003	291.469	25
Casablanca	1	2005	8.901	297.762	28
Rabat	1	2005	11.774	294.619	11
Rabat	1	2005	6.853	209.681	20
Rabat	1	2005	7.593	277.525	29
Rabat	1	2005	12.567	243.053	25
Meknes	1	2005	13.508	212.45	12
Meknes	1	2005	5.081	218.056	20
Meknes	1	2005	8.952	231.855	14
Meknes	1	2005	12.005	230.563	23
Fez	1	2005	13.723	286.772	28
Fez	1	2005	8.402	296.21	21
Fez	1	2005	5.655	218.513	12
Fez	1	2005	6.626	266.704	24
Fez	1	2005	5.225	237.877	15
Casablanca	1	2005	10.167	259.639	17
Casablanca	1	2005	11.913	299.052	27
Casablanca	1	2005	8.682	246.949	23
Casablanca	1	2005	5.843	213.851	15
Casablanca	1	2005	10.593	277.732	13
Casablanca	1	2005	10.757	248.492	21
Casablanca	1	2005	10.551	253.111	14
Rabat	1	2005	8.876	218.994	16
Rabat	1	2005	8.427	277.749	25
Rabat	1	2005	6.391	287.195	18
Rabat	1	2005	12.676	266.291	19
Meknes	1	2005	7.579	282.138	14
Meknes	1	2005	6.216	280.971	18
Meknes	1	2005	12.14	203.045	23
Meknes	1	2005	5.784	272.943	25
Fez	1	2005	9.336	201.653	21
Fez	1	2005	9.549	222.431	17
Fez	1	2005	7.839	212.89	10
Fez	1	2005	8.209	247.753	11
Fez	1	2005	7.426	278.703	15
Casablanca	1	2005	13.854	247.013	14
Casablanca	1	2005	13.363	247.308	20
Casablanca	1	2005	10.277	214.458	17
Casablanca	1	2005	8.632	224.784	12
Casablanca	1	2005	7.115	292.883	13
Casablanca	1	2005	6.839	243.81	18
Casablanca	1	2005	8.365	208.154	28
Rabat	1	2005	8.207	294.424	19
Rabat	1	2005	9.515	275.744	11
Rabat	1	2005	11.665	253.538	22
Rabat	1	2005	6.058	268.613	22
Meknes	1	2005	5.822	244.421	29
Meknes	1	2005	8.148	262.173	29
Meknes	1	2005	6.985	290.777	17
Meknes	1	2005	12.903	221.723	12
Fez	1	2005	6.404	285.713	29
Fez	1	2005	13.116	292.301	14
Fez	1	2005	13.723	211.488	14
Fez	1	2005	12.327	274.476	10
Fez	1	2005	7.552	298.644	10
Casablanca	1	2005	10.947	275.735	19
Casablanca	1	2005	6.939	264.334	26
Casablanca	1	2005	9.99	297.88	22
Casablanca	1	2005	4.235	266.468	19
Casablanca	1	2005	4.674	202.504	29
Casablanca	1	2005	9.77	212.804	23
Casablanca	1	2005	11.996	219.456	21
Rabat	1	2005	9.898	287.915	20
Rabat	1	2005	8.204	253.746	28
Rabat	1	2005	5.693	291.361	13
Rabat	1	2005	9.286	283.597	13
Meknes	1	2005	13.639	261.82	10
Meknes	1	2005	9.574	248.142	29
Meknes	1	2005	6.769	269.658	17
Meknes	1	2005	9.266	248.986	11
Fez	1	2005	8.119	207.903	21
Fez	1	2005	4.298	236.779	19
Fez	1	2005	7.096	222.776	26
Fez	1	2005	11.623	258.896	16
Fez	1	2005	9.588	266.12	29
Casablanca	1	2005	11.683	207.048	22
Casablanca	1	2005	10.3	291.878	22
Casablanca	1	2005	5.14	259.512	25
Casablanca	1	2005	7.052	212.109	17
Casablanca	1	2005	8.077	286.243	14
Casablanca	1	2005	4.591	256.582	25
Casablanca	1	2005	12.006	209.892	25
Rabat	1	2005	10.736	284.417	15
Rabat	1	2005	5.938	294.423	27
Rabat	1	2005	10.005	298.811	23
Rabat	1	2005	5.164	254.396	28
Meknes	1	2005	4.983	240.669	15
Meknes	1	2005	10.244	208.628	13
Meknes	1	2005	6.717	245.839	23
Meknes	1	2005	10.001	276.782	17
Fez	1	2005	9.757	204.784	25
Fez	1	2005	12.354	275.14	29
Fez	1	2005	7.517	277.649	20
Fez	1	2005	12.847	243.064	25
Fez	1	2005	7.362	289.639	25
Casablanca	1	2005	4.729	223.905	21
Casablanca	1	2005	11.029	276.75	12
Casablanca	1	2005	7.93	270.792	20
Casablanca	1	2005	12.023	246.448	19
Casablanca	1	2005	12.442	287.268	22
Casablanca	1	2005	8.302	295.132	29
Casablanca	1	2005	10.067	296.34	11
Rabat	1	2005	13.666	277.506	24
Rabat	1	2005	7.959	295.337	29
Rabat	1	2005	7.687	218.017	27
Rabat	1	2005	10.617	270.591	19
Meknes	1	2005	8.886	255.962	18
Meknes	1	2005	11.975	254.911	27
Meknes	1	2005	11.025	213.446	13
Meknes	1	2005	6.985	244.914	28
Fez	1	2005	4.24	280.483	28
Fez	1	2005	8.012	282.499	14
Fez	1	2005	13.77	211.823	19
Fez	1	2005	9.016	282.099	18
Fez	1	2005	9.35	208.844	20
Casablanca	1	2005	5.734	266.786	27
Casablanca	1	2005	9.657	219.62	12
Casablanca	1	2005	4.026	241.135	16
Casablanca	1	2005	6.087	219.419	29
Casablanca	1	2005	4.944	269.998	11
Casablanca	1	2005	6.959	205.538	16
Casablanca	1	2005	7.744	268.938	28
Rabat	1	2005	10.497	217.41	18
Rabat	1	2005	9.583	260.068	16
Rabat	1	2005	5.206	250.139	17
Rabat	1	2005	4.747	261.627	12
Meknes	1	2005	4.38	200.366	16
Meknes	1	2005	5.627	222.613	10
Meknes	1	2005	9.029	207.234	18
Meknes	1	2005	13.026	261.79	23
Fez	1	2005	8.289	220.96	20
Fez	1	2005	4.225	238.717	10
Fez	1	2005	9.923	225.804	28
Fez	1	2005	13.694	232.257	13
Fez	1	2005	8.702	261.935	17
Casablanca	1	2005	9.134	250.691	23
Casablanca	1	2005	8.619	277.687	12
Casablanca	1	2005	11.053	224.65	19
Casablanca	1	2005	6.776	226.833	16
Casablanca	1	2005	6.489	216.446	22
Casablanca	1	2005	5.362	246.427	14
Casablanca	1	2005	10.209	275.384	17
Rabat	1	2005	9.977	274.018	21
Rabat	1	2005	13.445	261.9	27
Rabat	1	2005	9.707	243.052	20
Rabat	1	2005	11.792	250.788	15
Meknes	1	2005	10.684	222.698	29
Meknes	1	2005	8.905	299.699	17
Meknes	1	2005	7.338	258.812	17
Meknes	1	2005	10.541	284.979	20
Fez	1	2005	9.029	223.553	29
Fez	1	2005	13.311	249.337	18
Fez	1	2005	5.012	297.232	26
Fez	1	2005	13.598	226.148	14
Fez	1	2005	8.109	256.822	24
Casablanca	1	2005	9.288	254.943	16
Casablanca	1	2005	9.937	232.218	28
Casablanca	1	2005	4.697	275.734	20
Casablanca	1	2005	12.737	218.551	10
Casablanca	1	2005	7.488	213.671	22
Casablanca	1	2005	13.852	251.612	16
Casablanca	1	2005	12.858	269.935	15
Rabat	1	2005	11.478	207.618	11
Rabat	1	2005	4.06	290.881	23
Rabat	1	2005	9.917	254.56	27
Rabat	1	2005	13.971	240.993	10
Meknes	1	2005	9.446	224.823	12
Meknes	1	2005	5.032	221.211	20
Meknes	1	2005	8.465	288.376	15
Meknes	1	2005	6.601	282.612	17
Fez	1	2005	10.746	225.751	20
Fez	1	2005	12.872	266.161	24
Fez	1	2005	8.66	226.518	20
Fez	1	2005	6.391	257.93	20
Fez	1	2005	9.087	239.984	10
Casablanca	1	2005	6.77	232.069	22
Casablanca	1	2005	11.547	231.486	24
Casablanca	1	2005	10.598	204.785	16
Casablanca	1	2005	12.397	273.336	23
Casablanca	1	2005	5.975	213.945	17
Casablanca	1	2005	11.116	226.219	16
Casablanca	1	2005	9.383	275.615	20
Rabat	1	2005	13.529	297.22	10
Rabat	1	2005	12.502	224.21	14
Rabat	1	2005	4.65	269.972	22
Rabat	1	2005	6.041	263.56	22
Meknes	1	2005	7.194	297.528	28
Meknes	1	2005	11.794	205.141	12
Meknes	1	2005	6.525	213.101	29
Meknes	1	2005	10.245	210.271	16
Fez	1	2005	4.54	260	25
Fez	1	2005	6.957	215.211	23
Fez	1	2005	11.357	272.725	14
Fez	1	2005	11.961	201.682	29
Fez	1	2005	10.161	203.289	12
Casablanca	1	2005	11.789	224.846	15
Casablanca	1	2005	4.81	206.91	14
Casablanca	1	2005	12.136	277.511	27
Casablanca	1	2005	11.741	213.076	12
Casablanca	1	2005	11.172	202.589	26
Casablanca	1	2005	9.657	288.769	28
Casablanca	1	2005	12.873	243.334	18
Rabat	1	2005	11.434	225.943	27
Rabat	1	2005	7.608	296.441	22
Rabat	1	2005	8.587	237.738	17
Rabat	1	2005	4.576	207.181	25
Meknes	1	2005	7.015	245.174	10
Meknes	1	2005	13.602	283.395	23
Meknes	1	2005	8.23	215.601	22
Meknes	1	2005	12.368	223.942	11
Fez	1	2005	11.285	203.512	25
Fez	1	2005	11.562	241.313	22
Fez	1	2005	5.711	207.373	27
Fez	1	2005	12.809	295.462	26
Fez	1	2005	4.406	230.316	14
Casablanca	1	2005	12.603	232.552	22
Casablanca	1	2005	6.789	224.596	28
Casablanca	1	2005	11.317	207.017	18
Casablanca	1	2005	5.747	231.795	11
Casablanca	1	2005	4.569	287.892	28
Casablanca	1	2005	7.205	280.902	22
Casablanca	1	2005	5.048	295.983	21
Rabat	1	2005	10.994	226.175	17
Rabat	1	2005	4.856	222.046	21
Rabat	1	2005	13.267	252.633	15
Rabat	1	2005	13.95	231.793	15
Meknes	1	2005	5.267	235.153	16
Meknes	1	2005	8.534	286.265	26
Meknes	1	2005	10.051	277.539	20
Meknes	1	2005	7.932	279.601	13
Fez	1	2005	11.345	258.768	21
Fez	1	2005	13.829	238.107	23
Fez	1	2005	10.676	273.562	18
Fez	1	2005	10.846	226.663	10
Fez	1	2005	10.554	279.42	17
Casablanca	1	2005	10.169	271.387	25
Casablanca	1	2005	5.245	224.779	23
Casablanca	1	2005	13.316	217.953	27
Casablanca	1	2005	13.167	280.313	21
Casablanca	1	2005	6.923	277.942	26
Casablanca	1	2005	6.413	287.037	23
Casablanca	1	2005	13.08	247.085	28
Rabat	1	2005	12.35	228.598	29
Rabat	1	2005	12.006	216.908	17
Rabat	1	2005	6.812	257.017	10
Rabat	1	2005	10.462	298.442	19
Meknes	1	2005	10.443	299.129	15
Meknes	1	2005	5.92	236.215	10
Meknes	1	2005	7.107	287.815	10
Meknes	1	2005	13.371	217.332	26
Fez	1	2005	13.262	287.4	13
Fez	1	2005	4.618	224.368	25
Fez	1	2005	8.924	247.286	29
Fez	1	2005	12.819	257.363	14
Fez	1	2005	5.293	202.445	11
Casablanca	1	2005	13.784	270.571	22
Casablanca	1	2005	5.841	234.815	21
Casablanca	1	2005	13.929	270.904	17
Casablanca	1	2005	11.539	267.271	27
Casablanca	1	2005	13.965	299.862	29
Casablanca	1	2005	4.524	291.539	16
Casablanca	1	2005	7.375	216.574	21
Rabat	1	2005	11.022	279.169	25
Rabat	1	2005	7.544	274.034	13
Rabat	1	2005	11.805	247.158	14
Rabat	1	2005	8.319	224.258	28
Meknes	1	2005	12.944	210.487	15
Meknes	1	2005	6.225	207.211	17
Meknes	1	2005	5.728	249.573	13
Meknes	1	2005	10.605	241.271	10
Fez	1	2005	11.886	224.088	18
Fez	1	2005	13.867	286.536	24
Fez	1	2005	12.629	250.279	16
Fez	1	2005	6.417	217.385	19
Fez	1	2005	7.591	203.869	14
Casablanca	1	2005	5.865	244.77	15
Casablanca	1	2005	5.692	231.335	15
Casablanca	1	2005	12.801	257.117	20
Casablanca	1	2005	5.039	275.082	23
Casablanca	1	2005	8.51	297.771	12
Casablanca	1	2005	5.353	294.953	11
Casablanca	1	2005	4.39	282.62	22
Rabat	1	2005	9.077	235.283	20
Rabat	1	2005	7.451	258.175	12
Rabat	1	2005	13.177	207.7	23
Rabat	1	2005	8.024	244.488	16
Meknes	1	2005	7.194	226.955	15
Meknes	1	2005	5.014	281.923	29
Meknes	1	2005	8.918	227.38	21
Meknes	1	2005	12.959	254.757	10
Fez	1	2005	13.738	247.856	11
Fez	1	2005	13.928	253.486	27
Fez	1	2005	13.23	294.675	13
Fez	1	2005	6.566	286.651	14
Fez	1	2005	5.905	236.8	16
Casablanca	1	2005	9.987	293.828	12
Casablanca	1	2005	9.424	263.21	18
Casablanca	1	2005	11.492	258.844	20
Casablanca	1	2005	11.255	213.163	22
Casablanca	1	2005	6.623	208.232	29
Casablanca	1	2005	4.302	204.042	18
Casablanca	1	2005	10.922	290.07	17
Rabat	1	2005	10.196	289.036	23
Rabat	1	2005	4.63	232.855	28
Rabat	1	2005	5.607	232.998	21
Rabat	1	2005	13.09	298.131	14
Meknes	1	2005	9.703	220.585	10
Meknes	1	2005	7.529	288.63	19
Meknes	1	2005	7.381	221.696	28
Meknes	1	2005	7.473	246.539	29
Fez	1	2005	7.883	223.97	27
Fez	1	2005	4.947	233.055	28
Fez	1	2005	11.99	245.731	22
Fez	1	2005	11.29	228.044	23
Fez	1	2005	7.974	284.312	18
Casablanca	1	2005	6.905	269.567	17
Casablanca	1	2005	9.36	279.069	15
Casablanca	1	2005	5.618	262.748	22
Casablanca	1	2005	11.597	276.411	12
Casablanca	1	2005	8.885	251.133	13
Casablanca	1	2005	11.76	287.656	12
Casablanca	1	2005	12.167	297.568	18
Rabat	1	2005	4.694	270.921	16
Rabat	1	2005	4.15	215.896	15
Rabat	1	2005	4.879	283.006	21
Rabat	1	2005	5.915	210.894	16
Meknes	1	2005	12.737	294.69	14
Meknes	1	2005	10.126	267.202	25
Meknes	1	2005	11.549	297.369	18
Meknes	1	2005	13.102	215.205	19
Fez	1	2005	8.822	274.318	15
Fez	1	2005	13.354	241.048	15
Fez	1	2005	10.054	293.353	24
Fez	1	2005	12.63	213.745	17
Fez	1	2005	11.881	283.014	17
Casablanca	1	2005	10.7	262.115	11
Casablanca	1	2005	13.509	267.662	17
Casablanca	1	2005	13.422	281.173	20
Casablanca	1	2005	13.311	220.397	20
Casablanca	1	2005	13.797	216.581	27
Casablanca	1	2005	4.744	270.035	12
Casablanca	1	2005	11.916	293.475	12
Rabat	1	2005	7.668	291.854	27
Rabat	1	2005	5.782	235.255	19
Rabat	1	2005	6.395	252.139	18
